city,date,id,lat,lng,name,pm10,pm10ss,pm25,pm25ss,status,temp,tempss
Бишкек,2019-04-10 23:35:01,2001,42.87300000,74.63500000,Восток 5,32,33,30,29,active,0,0
Бишкек,2019-04-10 23:35:01,2002,42.87400000,74.57200000,ул.Бейшеналиевой,41,51,36,44,active,0,0
Бишкек,2019-04-10 23:30:01,2003,42.86900000,74.57800000,ул.Боконбаева,-1,28,-1,25,active,-1,0
Бишкек,2019-04-10 23:35:01,2004,42.84600000,74.63700000,Кок-Жар,29,31,28,28,active,0,0
Бишкек,2019-03-17 13:30:01,2005,42.85700000,74.51600000,Ак-Орго,-1,28,-1,24,active,-1,0
Бишкек,2019-04-10 23:35:01,2006,42.82700000,74.61900000,7 мкрн,22,28,22,26,active,0,0
Бишкек,2018-08-31 12:12:50,2007,42.86000000,74.61700000,Жукеева-Пудовкина,-1,17,-1,16,active,-1,0
Бишкек,2019-04-10 23:35:01,2008,42.87300000,74.53400000,Абдраева-Кайназаровой,64,31,51,28,active,0,0
city,date,id,lat,lng,name,pm10,pm10ss,pm25,pm25ss,status,temp,tempss
Бишкек,2019-04-10 23:35:01,2001,42.87300000,74.63500000,Восток 5,32,33,30,29,active,0,0
Бишкек,2019-04-10 23:35:01,2002,42.87400000,74.57200000,ул.Бейшеналиевой,41,51,36,44,active,0,0
Бишкек,2019-04-10 23:30:01,2003,42.86900000,74.57800000,ул.Боконбаева,-1,28,-1,25,active,-1,0
Бишкек,2019-04-10 23:35:01,2004,42.84600000,74.63700000,Кок-Жар,29,31,28,28,active,0,0
Бишкек,2019-03-17 13:30:01,2005,42.85700000,74.51600000,Ак-Орго,-1,28,-1,24,active,-1,0
Бишкек,2019-04-10 23:35:01,2006,42.82700000,74.61900000,7 мкрн,22,28,22,26,active,0,0
Бишкек,2018-08-31 12:12:50,2007,42.86000000,74.61700000,Жукеева-Пудовкина,-1,17,-1,16,active,-1,0
Бишкек,2019-04-10 23:35:01,2008,42.87300000,74.53400000,Абдраева-Кайназаровой,64,31,51,28,active,0,0
city,date,id,lat,lng,name,pm10,pm10ss,pm25,pm25ss,status,temp,tempss
Бишкек,2019-04-11 18:10:01,2001,42.87300000,74.63500000,Восток 5,10,29,9,25,active,0,0
Бишкек,2019-04-11 17:30:01,2002,42.87400000,74.57200000,ул.Бейшеналиевой,-1,48,-1,42,active,-1,0
Бишкек,2019-04-11 09:30:01,2003,42.86900000,74.57800000,ул.Боконбаева,-1,40,-1,35,active,-1,0
Бишкек,2019-04-11 18:10:01,2004,42.84600000,74.63700000,Кок-Жар,16,26,15,24,active,0,0
Бишкек,2019-03-17 13:30:01,2005,42.85700000,74.51600000,Ак-Орго,-1,28,-1,24,active,-1,0
Бишкек,2019-04-11 18:10:01,2006,42.82700000,74.61900000,7 мкрн,17,23,17,21,active,0,0
Бишкек,2018-08-31 12:12:50,2007,42.86000000,74.61700000,Жукеева-Пудовкина,-1,17,-1,16,active,-1,0
Бишкек,2019-04-11 18:10:01,2008,42.87300000,74.53400000,Абдраева-Кайназаровой,19,42,19,36,active,0,0
city,date,id,lat,lng,name,pm10,pm10ss,pm25,pm25ss,status,temp,tempss
Бишкек,2019-04-12 16:50:02,2001,42.87300000,74.63500000,Восток 5,15,27,14,24,active,0,0
Бишкек,2019-04-12 16:50:02,2002,42.87400000,74.57200000,ул.Бейшеналиевой,21,27,21,25,active,0,0
Бишкек,2019-04-11 09:30:01,2003,42.86900000,74.57800000,ул.Боконбаева,-1,40,-1,35,active,-1,0
Бишкек,2019-04-12 16:50:02,2004,42.84600000,74.63700000,Кок-Жар,24,24,23,22,active,0,0
Бишкек,2019-03-17 13:30:01,2005,42.85700000,74.51600000,Ак-Орго,-1,28,-1,24,active,-1,0
Бишкек,2019-04-12 16:50:02,2006,42.82700000,74.61900000,7 мкрн,20,20,19,19,active,0,0
Бишкек,2018-08-31 12:12:50,2007,42.86000000,74.61700000,Жукеева-Пудовкина,-1,17,-1,16,active,-1,0
Бишкек,2019-04-12 16:50:02,2008,42.87300000,74.53400000,Абдраева-Кайназаровой,11,23,10,21,active,0,0
